Country,Country Code,Mobile prefix[notes 1],,,,,,,,,,,,,,,,
Switzerland,41,74,,,,,,,,,,,,,,,,
Switzerland,41,75,,,,,,,,,,,,,,,,
Switzerland,41,76,,,,,,,,,,,,,,,,
Switzerland,41,77,,,,,,,,,,,,,,,,
Switzerland,41,78,,,,,,,,,,,,,,,,
Switzerland,41,79,,,,,,,,,,,,,,,,
Austria,43,650,,,,,,,,,,,,,,,,
Austria,43,660,,,,,,,,,,,,,,,,
Austria,43,664,,,,,,,,,,,,,,,,
Austria,43,676,,,,,,,,,,,,,,,,
Austria,43,677,,,,,,,,,,,,,,,,
Austria,43,680,,,,,,,,,,,,,,,,
Austria,43,681,,,,,,,,,,,,,,,,
Austria,43,688,,,,,,,,,,,,,,,,
Austria,43,699,,,,,,,,,,,,,,,,
United Kingdom,44,71,,,,,,,,,,,,,,,,
United Kingdom,44,72,,,,,,,,,,,,,,,,
United Kingdom,44,73,,,,,,,,,,,,,,,,
United Kingdom,44,74,,,,,,,,,,,,,,,,
United Kingdom,44,75,,,,,,,,,,,,,,,,
United Kingdom,44,76,,,,,,,,,,,,,,,,
United Kingdom,44,77,,,,,,,,,,,,,,,,
United Kingdom,44,78,,,,,,,,,,,,,,,,
United Kingdom,44,79,,,,,,,,,,,,,,,,
Denmark,45,2,,,,,,,,,,,,,,,,
Denmark,45,30,,,,,,,,,,,,,,,,
Denmark,45,31,,,,,,,,,,,,,,,,
Denmark,45,40,,,,,,,,,,,,,,,,
Denmark,45,41,,,,,,,,,,,,,,,,
Denmark,45,42,,,,,,,,,,,,,,,,
Denmark,45,50,,,,,,,,,,,,,,,,
Denmark,45,51,,,,,,,,,,,,,,,,
Denmark,45,52,,,,,,,,,,,,,,,,
Denmark,45,53,,,,,,,,,,,,,,,,
Denmark,45,60,,,,,,,,,,,,,,,,
Denmark,45,61,,,,,,,,,,,,,,,,
Denmark,45,71,,,,,,,,,,,,,,,,
Denmark,45,81,,,,,,,,,,,,,,,,
Sweden,46,70,,,,,,,,,,,,,,,,
Sweden,46,71,,,,,,,,,,,,,,,,
Sweden,46,72,,,,,,,,,,,,,,,,
Sweden,46,73,,,,,,,,,,,,,,,,
Sweden,46,76,,,,,,,,,,,,,,,,
Sweden,46,79,,,,,,,,,,,,,,,,
Norway,47,4,,,,,,,,,,,,,,,,
Norway,47,9,,,,,,,,,,,,,,,,
Norway,47,59,,,,,,,,,,,,,,,,
Poland,48,45,,,,,,,,,,,,,,,,
Poland,48,50,,,,,,,,,,,,,,,,
Poland,48,51,,,,,,,,,,,,,,,,
Poland,48,53,,,,,,,,,,,,,,,,
Poland,48,57,,,,,,,,,,,,,,,,
Poland,48,60,,,,,,,,,,,,,,,,
Poland,48,66,,,,,,,,,,,,,,,,
Poland,48,69,,,,,,,,,,,,,,,,
Poland,48,72,,,,,,,,,,,,,,,,
Poland,48,73,,,,,,,,,,,,,,,,
Poland,48,78,,,,,,,,,,,,,,,,
Poland,48,79,,,,,,,,,,,,,,,,
Poland,48,88,,,,,,,,,,,,,,,,
Germany,49,151,,,,,,,,,,,,,,,,
Germany,49,152,,,,,,,,,,,,,,,,
Germany,49,155,,,,,,,,,,,,,,,,
Germany,49,157,,,,,,,,,,,,,,,,
Germany,49,159,,,,,,,,,,,,,,,,
Germany,49,160,,,,,,,,,,,,,,,,
Germany,49,162,,,,,,,,,,,,,,,,
Germany,49,163,,,,,,,,,,,,,,,,
Germany,49,170,,,,,,,,,,,,,,,,
Germany,49,171,,,,,,,,,,,,,,,,
Germany,49,172,,,,,,,,,,,,,,,,
Germany,49,173,,,,,,,,,,,,,,,,
Germany,49,174,,,,,,,,,,,,,,,,
Germany,49,175,,,,,,,,,,,,,,,,
Germany,49,176,,,,,,,,,,,,,,,,
Germany,49,177,,,,,,,,,,,,,,,,
Germany,49,178,,,,,,,,,,,,,,,,
Germany,49,179,,,,,,,,,,,,,,,,
Peru,51,9,,,,,,,,,,,,,,,,
Cuba,53,5,,,,,,,,,,,,,,,,
Argentina,54,45184,,,,,,,,,,,,,,,,
Chile,56,9,,,,,,,,,,,,,,,,
Easter Island,56,32,,,,,,,,,,,,,,,,
Colombia,57,30,,,,,,,,,,,,,,,,
Colombia,57,32,,,,,,,,,,,,,,,,
Colombia,57,310,,,,,,,,,,,,,,,,
Colombia,57,311,,,,,,,,,,,,,,,,
Colombia,57,312,,,,,,,,,,,,,,,,
Colombia,57,313,,,,,,,,,,,,,,,,
Colombia,57,314,,,,,,,,,,,,,,,,
Colombia,57,315,,,,,,,,,,,,,,,,
Colombia,57,316,,,,,,,,,,,,,,,,
Colombia,57,317,,,,,,,,,,,,,,,,
Colombia,57,318,,,,,,,,,,,,,,,,
Colombia,57,319,,,,,,,,,,,,,,,,
Colombia,57,350,,,,,,,,,,,,,,,,
Venezuela,58,412,,,,,,,,,,,,,,,,
Venezuela,58,414,,,,,,,,,,,,,,,,
Venezuela,58,416,,,,,,,,,,,,,,,,
Venezuela,58,424,,,,,,,,,,,,,,,,
Venezuela,58,426,,,,,,,,,,,,,,,,
Malaysia,60,10,,,,,,,,,,,,,,,,
Malaysia,60,11,,,,,,,,,,,,,,,,
Malaysia,60,12,,,,,,,,,,,,,,,,
Malaysia,60,13,,,,,,,,,,,,,,,,
Malaysia,60,14,,,,,,,,,,,,,,,,
Malaysia,60,16,,,,,,,,,,,,,,,,
Malaysia,60,17,,,,,,,,,,,,,,,,
Malaysia,60,18,,,,,,,,,,,,,,,,
Malaysia,60,19,,,,,,,,,,,,,,,,
Australia,61,4,,,,,,,,,,,,,,,,
Indonesia,62,811,,,,,,,,,,,,,,,,
Indonesia,62,812,,,,,,,,,,,,,,,,
Indonesia,62,813,,,,,,,,,,,,,,,,
Indonesia,62,814,,,,,,,,,,,,,,,,
Indonesia,62,815,,,,,,,,,,,,,,,,
Indonesia,62,816,,,,,,,,,,,,,,,,
Indonesia,62,817,,,,,,,,,,,,,,,,
Indonesia,62,818,,,,,,,,,,,,,,,,
Indonesia,62,819,,,,,,,,,,,,,,,,
Indonesia,62,838,,,,,,,,,,,,,,,,
Indonesia,62,852,,,,,,,,,,,,,,,,
Indonesia,62,853,,,,,,,,,,,,,,,,
Indonesia,62,855,,,,,,,,,,,,,,,,
Indonesia,62,856,,,,,,,,,,,,,,,,
Indonesia,62,858,,,,,,,,,,,,,,,,
Indonesia,62,859,,,,,,,,,,,,,,,,
Indonesia,62,878,,,,,,,,,,,,,,,,
Indonesia,62,896,,,,,,,,,,,,,,,,
Indonesia,62,897,,,,,,,,,,,,,,,,
Indonesia,62,898,,,,,,,,,,,,,,,,
Indonesia,62,899,,,,,,,,,,,,,,,,
Philippines,63,905,,,,,,,,,,,,,,,,
Philippines,63,906,,,,,,,,,,,,,,,,
Philippines,63,907,,,,,,,,,,,,,,,,
Philippines,63,908,,,,,,,,,,,,,,,,
Philippines,63,909,,,,,,,,,,,,,,,,
Philippines,63,910,,,,,,,,,,,,,,,,
Philippines,63,912,,,,,,,,,,,,,,,,
Philippines,63,915,,,,,,,,,,,,,,,,
Philippines,63,916,,,,,,,,,,,,,,,,
Philippines,63,917,,,,,,,,,,,,,,,,
Philippines,63,918,,,,,,,,,,,,,,,,
Philippines,63,919,,,,,,,,,,,,,,,,
Philippines,63,920,,,,,,,,,,,,,,,,
Philippines,63,921,,,,,,,,,,,,,,,,
Philippines,63,922,,,,,,,,,,,,,,,,
Philippines,63,923,,,,,,,,,,,,,,,,
Philippines,63,926,,,,,,,,,,,,,,,,
Philippines,63,927,,,,,,,,,,,,,,,,
Philippines,63,928,,,,,,,,,,,,,,,,
Philippines,63,929,,,,,,,,,,,,,,,,
Philippines,63,930,,,,,,,,,,,,,,,,
Philippines,63,932,,,,,,,,,,,,,,,,
Philippines,63,933,,,,,,,,,,,,,,,,
Philippines,63,935,,,,,,,,,,,,,,,,
Philippines,63,936,,,,,,,,,,,,,,,,
Philippines,63,937,,,,,,,,,,,,,,,,
Philippines,63,938,,,,,,,,,,,,,,,,
Philippines,63,939,,,,,,,,,,,,,,,,
Philippines,63,942,,,,,,,,,,,,,,,,
Philippines,63,943,,,,,,,,,,,,,,,,
Philippines,63,947,,,,,,,,,,,,,,,,
Philippines,63,948,,,,,,,,,,,,,,,,
Philippines,63,949,,,,,,,,,,,,,,,,
Philippines,63,973,,,,,,,,,,,,,,,,
Philippines,63,974,,,,,,,,,,,,,,,,
Philippines,63,977,,,,,,,,,,,,,,,,
Philippines,63,979,,,,,,,,,,,,,,,,
Philippines,63,989,,,,,,,,,,,,,,,,
Philippines,63,996,,,,,,,,,,,,,,,,
Philippines,63,997,,,,,,,,,,,,,,,,
Philippines,63,999,,,,,,,,,,,,,,,,
New Zealand,64,20,,,,,,,,,,,,,,,,
New Zealand,64,21,,,,,,,,,,,,,,,,
New Zealand,64,22,,,,,,,,,,,,,,,,
New Zealand,64,24,,,,,,,,,,,,,,,,
New Zealand,64,25,,,,,,,,,,,,,,,,
New Zealand,64,27,,,,,,,,,,,,,,,,
New Zealand,64,28,,,,,,,,,,,,,,,,
New Zealand,64,28,,,,,,,,,,,,,,,,
New Zealand,64,29,,,,,,,,,,,,,,,,
New Zealand,64,280,,,,,,,,,,,,,,,,
New Zealand,64,283,,,,,,,,,,,,,,,,
Singapore,65,8,,,,,,,,,,,,,,,,
Singapore,65,9,,,,,,,,,,,,,,,,
Thailand,66,6,,,,,,,,,,,,,,,,
Thailand,66,8,,,,,,,,,,,,,,,,
Thailand,66,9,,,,,,,,,,,,,,,,
Japan,81,60,,,,,,,,,,,,,,,,
Japan,81,70,,,,,,,,,,,,,,,,
Japan,81,80,,,,,,,,,,,,,,,,
Japan,81,90,,,,,,,,,,,,,,,,
South Korea,82,10,,,,,,,,,,,,,,,,
South Korea,82,10,,,,,,,,,,,,,,,,
South Korea,82,11,,,,,,,,,,,,,,,,
South Korea,82,11,,,,,,,,,,,,,,,,
South Korea,82,16,,,,,,,,,,,,,,,,
South Korea,82,16,,,,,,,,,,,,,,,,
South Korea,82,17,,,,,,,,,,,,,,,,
South Korea,82,18,,,,,,,,,,,,,,,,
South Korea,82,19,,,,,,,,,,,,,,,,
South Korea,82,19,,,,,,,,,,,,,,,,
People's Republic of China,86,147,,,,,,,,,,,,,,,,
People's Republic of China,86,165,,,,,,,,,,,,,,,,
People's Republic of China,86,172,,,,,,,,,,,,,,,,
Northern Cyprus,90,533,,,,,,,,,,,,,,,,
Northern Cyprus,90,542,,,,,,,,,,,,,,,,
Turkey,90,50,,,,,,,,,,,,,,,,
Turkey,90,53,,,,,,,,,,,,,,,,
Turkey,90,54,,,,,,,,,,,,,,,,
Turkey,90,55,,,,,,,,,,,,,,,,
India,91,6,,,,,,,,,,,,,,,,
India,91,8,,,,,,,,,,,,,,,,
India,91,90,,,,,,,,,,,,,,,,
India,91,91,,,,,,,,,,,,,,,,
India,91,92,,,,,,,,,,,,,,,,
India,91,93,,,,,,,,,,,,,,,,
India,91,94,,,,,,,,,,,,,,,,
India,91,95,,,,,,,,,,,,,,,,
India,91,96,,,,,,,,,,,,,,,,
India,91,97,,,,,,,,,,,,,,,,
India,91,98,,,,,,,,,,,,,,,,
India,91,99,,,,,,,,,,,,,,,,
Pakistan,92,3,,,,,,,,,,,,,,,,
Pakistan,92,30,,,,,,,,,,,,,,,,
Pakistan,92,31,,,,,,,,,,,,,,,,
Pakistan,92,32,,,,,,,,,,,,,,,,
Pakistan,92,33,,,,,,,,,,,,,,,,
Pakistan,92,34,,,,,,,,,,,,,,,,
Gibraltar,350,58,,,,,,,,,,,,,,,,
Portugal,351,91,,,,,,,,,,,,,,,,
Portugal,351,93,,,,,,,,,,,,,,,,
Portugal,351,96,,,,,,,,,,,,,,,,
Portugal,351,921,,,,,,,,,,,,,,,,
Portugal,351,922,,,,,,,,,,,,,,,,
Portugal,351,924,,,,,,,,,,,,,,,,
Portugal,351,925,,,,,,,,,,,,,,,,
Portugal,351,926,,,,,,,,,,,,,,,,
Portugal,351,927,,,,,,,,,,,,,,,,
Portugal,351,9290,,,,,,,,,,,,,,,,
Portugal,351,9291,,,,,,,,,,,,,,,,
Portugal,351,9292,,,,,,,,,,,,,,,,
Portugal,351,9293,,,,,,,,,,,,,,,,
Portugal,351,9294,,,,,,,,,,,,,,,,
Luxembourg,352,621,,,,,,,,,,,,,,,,
Luxembourg,352,628,,,,,,,,,,,,,,,,
Luxembourg,352,661,,,,,,,,,,,,,,,,
Luxembourg,352,668,,,,,,,,,,,,,,,,
Luxembourg,352,691,,,,,,,,,,,,,,,,
Luxembourg,352,698,,,,,,,,,,,,,,,,
Ireland,353,8,,,,,,,,,,,,,,,,
Ireland,353,83,,,,,,,,,,,,,,,,
Ireland,353,85,,,,,,,,,,,,,,,,
Ireland,353,86,,,,,,,,,,,,,,,,
Ireland,353,87,,,,,,,,,,,,,,,,
Ireland,353,89,,,,,,,,,,,,,,,,
Iceland,354,6,,,,,,,,,,,,,,,,
Albania,355,67,,,,,,,,,,,,,,,,
Albania,355,68,,,,,,,,,,,,,,,,
Albania,355,69,,,,,,,,,,,,,,,,
Malta,356,77,,,,,,,,,,,,,,,,
Malta,356,79,,,,,,,,,,,,,,,,
Malta,356,98,,,,,,,,,,,,,,,,
Malta,356,99,,,,,,,,,,,,,,,,
Cyprus,357,94,,,,,,,,,,,,,,,,
Cyprus,357,95,,,,,,,,,,,,,,,,
Cyprus,357,96,,,,,,,,,,,,,,,,
Cyprus,357,97,,,,,,,,,,,,,,,,
Cyprus,357,99,,,,,,,,,,,,,,,,
Finland,358,5,,,,,,,,,,,,,,,,
Finland,358,5 40,,,,,,,,,,,,,,,,
Finland,358,41,,,,,,,,,,,,,,,,
Finland,358,42,,,,,,,,,,,,,,,,
Finland,358,43,,,,,,,,,,,,,,,,
Finland,358,44,,,,,,,,,,,,,,,,
Finland,358,45,,,,,,,,,,,,,,,,
Finland,358,46,,,,,,,,,,,,,,,,
Finland,358,47,,,,,,,,,,,,,,,,
Finland,358,48,,,,,,,,,,,,,,,,
Finland,358,49,,,,,,,,,,,,,,,,
Finland,358,50,,,,,,,,,,,,,,,,
Bulgaria,359,48,,,,,,,,,,,,,,,,
Lithuania,370,6,,,,,,,,,,,,,,,,
Latvia,371,2,,,,,,,,,,,,,,,,
Latvia,371,2,,,,,,,,,,,,,,,,
Estonia,372,50,,,,,,,,,,,,,,,,
Estonia,372,51,,,,,,,,,,,,,,,,
Estonia,372,52,,,,,,,,,,,,,,,,
Estonia,372,53,,,,,,,,,,,,,,,,
Estonia,372,54,,,,,,,,,,,,,,,,
Estonia,372,55,,,,,,,,,,,,,,,,
Estonia,372,56,,,,,,,,,,,,,,,,
Estonia,372,57,,,,,,,,,,,,,,,,
Estonia,372,58,,,,,,,,,,,,,,,,
Estonia,372,59,,,,,,,,,,,,,,,,
Estonia,372,5195,,,,,,,,,,,,,,,,
Moldova,373,60,,,,,,,,,,,,,,,,
Moldova,373,65,,,,,,,,,,,,,,,,
Moldova,373,67,,,,,,,,,,,,,,,,
Moldova,373,68,,,,,,,,,,,,,,,,
Moldova,373,69,,,,,,,,,,,,,,,,
Moldova,373,78,,,,,,,,,,,,,,,,
Moldova,373,79,,,,,,,,,,,,,,,,
Armenia,374,41,,,,,,,,,,,,,,,,
Armenia,374,43,,,,,,,,,,,,,,,,
Armenia,374,44,,,,,,,,,,,,,,,,
Armenia,374,55,,,,,,,,,,,,,,,,
Armenia,374,77,,,,,,,,,,,,,,,,
Armenia,374,93,,,,,,,,,,,,,,,,
Armenia,374,94,,,,,,,,,,,,,,,,
Armenia,374,95,,,,,,,,,,,,,,,,
Armenia,374,97,,,,,,,,,,,,,,,,
Armenia,374,98,,,,,,,,,,,,,,,,
Armenia,374,99,,,,,,,,,,,,,,,,
Andorra,376,3,,,,,,,,,,,,,,,,
Monaco,377,4,,,,,,,,,,,,,,,,
Monaco,377,6,,,,,,,,,,,,,,,,
San Marino,378,66,,,,,,,,,,,,,,,,
Ukraine,380,50,,,,,,,,,,,,,,,,
Ukraine,380,63,,,,,,,,,,,,,,,,
Ukraine,380,66,,,,,,,,,,,,,,,,
Ukraine,380,67,,,,,,,,,,,,,,,,
Ukraine,380,73,,,,,,,,,,,,,,,,
Ukraine,380,91,,,,,,,,,,,,,,,,
Ukraine,380,92,,,,,,,,,,,,,,,,
Ukraine,380,93,,,,,,,,,,,,,,,,
Ukraine,380,94,,,,,,,,,,,,,,,,
Ukraine,380,95,,,,,,,,,,,,,,,,
Ukraine,380,96,,,,,,,,,,,,,,,,
Ukraine,380,97,,,,,,,,,,,,,,,,
Ukraine,380,98,,,,,,,,,,,,,,,,
Ukraine,380,99,,,,,,,,,,,,,,,,
Serbia,381,60,,,,,,,,,,,,,,,,
Serbia,381,61,,,,,,,,,,,,,,,,
Serbia,381,62,,,,,,,,,,,,,,,,
Serbia,381,63,,,,,,,,,,,,,,,,
Serbia,381,64,,,,,,,,,,,,,,,,
Serbia,381,65,,,,,,,,,,,,,,,,
Serbia,381,66,,,,,,,,,,,,,,,,
Serbia,381,68,,,,,,,,,,,,,,,,
Serbia,381,69,,,,,,,,,,,,,,,,
Serbia,381,677,,,,,,,,,,,,,,,,
Montenegro,382,60,,,,,,,,,,,,,,,,
Montenegro,382,63,,,,,,,,,,,,,,,,
Montenegro,382,66,,,,,,,,,,,,,,,,
Montenegro,382,67,,,,,,,,,,,,,,,,
Montenegro,382,68,,,,,,,,,,,,,,,,
Montenegro,382,69,,,,,,,,,,,,,,,,
Kosovo,383,44,,,,,,,,,,,,,,,,
Kosovo,383,45,,,,,,,,,,,,,,,,
Kosovo,383,49,,,,,,,,,,,,,,,,
Croatia,385,91,,,,,,,,,,,,,,,,
Croatia,385,92,,,,,,,,,,,,,,,,
Croatia,385,95,,,,,,,,,,,,,,,,
Croatia,385,97,,,,,,,,,,,,,,,,
Croatia,385,98,,,,,,,,,,,,,,,,
Croatia,385,99,,,,,,,,,,,,,,,,
Slovenia,386,20,,,,,,,,,,,,,,,,
Slovenia,386,21,,,,,,,,,,,,,,,,
Slovenia,386,30,,,,,,,,,,,,,,,,
Slovenia,386,31,,,,,,,,,,,,,,,,
Slovenia,386,40,,,,,,,,,,,,,,,,
Slovenia,386,41,,,,,,,,,,,,,,,,
Slovenia,386,49,,,,,,,,,,,,,,,,
Slovenia,386,50,,,,,,,,,,,,,,,,
Slovenia,386,51,,,,,,,,,,,,,,,,
Slovenia,386,60,,,,,,,,,,,,,,,,
Slovenia,386,61,,,,,,,,,,,,,,,,
Slovenia,386,64,,,,,,,,,,,,,,,,
Slovenia,386,70,,,,,,,,,,,,,,,,
Slovenia,386,71,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,60,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,62,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,63,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,64,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,65,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,66,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,387,69,,,,,,,,,,,,,,,,
North Macedonia,389,71,,,,,,,,,,,,,,,,
North Macedonia,389,72,,,,,,,,,,,,,,,,
North Macedonia,389,73,,,,,,,,,,,,,,,,
North Macedonia,389,74,,,,,,,,,,,,,,,,
North Macedonia,389,75,,,,,,,,,,,,,,,,
North Macedonia,389,76,,,,,,,,,,,,,,,,
North Macedonia,389,77,,,,,,,,,,,,,,,,
North Macedonia,389,78,,,,,,,,,,,,,,,,
North Macedonia,389,79,,,,,,,,,,,,,,,,
Czech Republic,420,72,,,,,,,,,,,,,,,,
Czech Republic,420,73,,,,,,,,,,,,,,,,
Czech Republic,420,77,,,,,,,,,,,,,,,,
Czech Republic,420,601,,,,,,,,,,,,,,,,
Czech Republic,420,602,,,,,,,,,,,,,,,,
Czech Republic,420,603,,,,,,,,,,,,,,,,
Czech Republic,420,604,,,,,,,,,,,,,,,,
Czech Republic,420,605,,,,,,,,,,,,,,,,
Czech Republic,420,606,,,,,,,,,,,,,,,,
Czech Republic,420,607,,,,,,,,,,,,,,,,
Czech Republic,420,608,,,,,,,,,,,,,,,,
Czech Republic,420,702,,,,,,,,,,,,,,,,
Czech Republic,420,790,,,,,,,,,,,,,,,,
Slovakia,421,901,,,,,,,,,,,,,,,,
Slovakia,421,902,,,,,,,,,,,,,,,,
Slovakia,421,903,,,,,,,,,,,,,,,,
Slovakia,421,904,,,,,,,,,,,,,,,,
Slovakia,421,905,,,,,,,,,,,,,,,,
Slovakia,421,906,,,,,,,,,,,,,,,,
Slovakia,421,907,,,,,,,,,,,,,,,,
Slovakia,421,908,,,,,,,,,,,,,,,,
Slovakia,421,910,,,,,,,,,,,,,,,,
Slovakia,421,911,,,,,,,,,,,,,,,,
Slovakia,421,912,,,,,,,,,,,,,,,,
Slovakia,421,914,,,,,,,,,,,,,,,,
Slovakia,421,915,,,,,,,,,,,,,,,,
Slovakia,421,916,,,,,,,,,,,,,,,,
Slovakia,421,917,,,,,,,,,,,,,,,,
Slovakia,421,918,,,,,,,,,,,,,,,,
Slovakia,421,940,,,,,,,,,,,,,,,,
Slovakia,421,944,,,,,,,,,,,,,,,,
Slovakia,421,948,,,,,,,,,,,,,,,,
Slovakia,421,949,,,,,,,,,,,,,,,,
Slovakia,421,950,,,,,,,,,,,,,,,,
Slovakia,421,951,,,,,,,,,,,,,,,,
Liechtenstein,423,7,,,,,,,,,,,,,,,,
Belize,501,6,,,,,,,,,,,,,,,,
Guatemala,502,4,,,,,,,,,,,,,,,,
Guatemala,502,5,,,,,,,,,,,,,,,,
Guatemala,502,30,,,,,,,,,,,,,,,,
Guatemala,502,45,,,,,,,,,,,,,,,,
Guatemala,502,46,,,,,,,,,,,,,,,,
Guatemala,502,49,,,,,,,,,,,,,,,,
Guatemala,502,231,,,,,,,,,,,,,,,,
Guatemala,502,310,,,,,,,,,,,,,,,,
Guatemala,502,311,,,,,,,,,,,,,,,,
